compound_names,smiles,isactive,,
Ipriflavone,CC(C)Oc1ccc2c(=O)c(-c3ccccc3)coc2c1,0.563626077,848,12.29%
"3,4-dimethoxy-N-[4-(4-phenylphenyl)-1,3-thiazol-2-yl]benzamide",COc1ccc(C(=O)Nc2nc(-c3ccc(-c4ccccc4)cc3)cs2)cc1OC,0.563525259,849,12.31%
7-Ethoxy-3-(2-methoxyphenoxy)-2-methylchromen-4-one,CCOc1ccc2c(=O)c(Oc3ccccc3OC)c(C)oc2c1,0.562511834,850,12.32%
7-{[(4-Methylpyridin-2-yl)amino][4-(trifluoromethyl)phenyl]methyl}quinolin-8-ol,Cc1ccnc(NC(c2ccc(C(F)(F)F)cc2)c2ccc3cccnc3c2O)c1,0.562228268,851,12.34%
2-(4-chlorophenoxy)-N-(5-fluoro-9-oxo-9H-xanthen-3-yl)acetamide,O=C(COc1ccc(Cl)cc1)Nc1ccc2c(=O)c3cccc(F)c3oc2c1,0.562112411,852,12.35%
"3-(3,4-dihydro-2H-1,5-benzodioxepin-7-yl)-7-methoxy-6-propyl-4H-chromen-4-one",CCCc1cc2c(=O)c(-c3ccc4c(c3)OCCCO4)coc2cc1OC,0.561777536,853,12.37%
"3-(2,3-Dihydro-1,4-benzodioxin-6-yl)-6-ethyl-7-hydroxychromen-4-one",CCc1cc2c(=O)c(-c3ccc4c(c3)OCCO4)coc2cc1O,0.561318934,854,12.38%
"3-(2,3-dihydrobenzo[b][1,4]dioxin-6-yl)-6-ethyl-7-((3-methylbut-2-en-1-yl)oxy)-4H-chromen-4-one",CCc1cc2c(=O)c(-c3ccc4c(c3)OCCO4)coc2cc1OCC=C(C)C,0.561314899,855,12.39%
"N-[4-(4-cyanophenyl)-1,3-thiazol-2-yl]-3-phenoxybenzamide",N#Cc1ccc(-c2csc(NC(=O)c3cccc(Oc4ccccc4)c3)n2)cc1,0.561053542,856,12.41%
N-[3-(1H-benzimidazol-2-yl)phenyl]-4-phenoxybenzamide,O=C(Nc1cccc(-c2nc3ccccc3[nH]2)c1)c1ccc(Oc2ccccc2)cc1,0.56093405,857,12.42%
"N-(2-chlorophenyl)-4-(4-hydroxy-3-methoxyphenyl)-6-methyl-2-sulfanylidene-1,2,3,4-tetrahydropyrimidine-5-carboxamide",COc1cc(C2NC(=S)NC(C)=C2C(=O)Nc2ccccc2Cl)ccc1O,0.56078684,858,12.44%
"N-(4-([1,1'-biphenyl]-4-yl)thiazol-2-yl)-3,5-dimethoxybenzamide",COc1cc(OC)cc(C(=O)Nc2nc(-c3ccc(-c4ccccc4)cc3)cs2)c1,0.56063805,859,12.45%
3-chloro-N-(4-(naphthalen-2-yl)thiazol-2-yl)benzamide,O=C(Nc1nc(-c2ccc3ccccc3c2)cs1)c1cccc(Cl)c1,0.559479397,860,12.47%
Norcamphor,O=C1CC2CCC1C2,0.559465536,861,12.48%
"1-(Hydroxymethyl)indole-2,3-dione",O=C1C(=O)N(CO)c2ccccc21,0.559431513,862,12.50%
"N-benzyl-1-(3-chlorophenyl)-1H-pyrazolo[3,4-d]pyrimidin-4-amine",Clc1cccc(-n2ncc3c(NCc4ccccc4)ncnc32)c1,0.559418461,863,12.51%
7-hydroxy-3-(4-methoxyphenyl)-2-methyl-4H-chromen-4-one,COc1ccc(-c2c(C)oc3cc(O)ccc3c2=O)cc1,0.559200961,864,12.53%
"(Z)-6-(2-oxo-2-phenylethoxy)-2-(2,4,5-trimethoxybenzylidene)benzofuran-3(2H)-one",COc1cc(OC)c(OC)cc1/C=C1\Oc2cc(OCC(=O)c3ccccc3)ccc2C1=O,0.558772174,865,12.54%
"N-(3,4-difluorophenyl)-4-(2-methoxyphenyl)-6-methyl-2-oxo-1,2,3,4-tetrahydropyrimidine-5-carboxamide",COc1ccccc1C1NC(=O)NC(C)=C1C(=O)Nc1ccc(F)c(F)c1,0.558759219,866,12.55%
"1-(2,3-Dimethoxyphenyl)-7-methyl-2-(1,3-thiazol-2-yl)-1,2-dihydrochromeno[2,3-c]pyrrole-3,9-dione",COc1cccc(C2c3c(oc4ccc(C)cc4c3=O)C(=O)N2c2nccs2)c1OC,0.558743484,867,12.57%
"N-[4-(3,4-dimethoxyphenyl)-1,3-thiazol-2-yl]-3-methoxynaphthalene-2-carboxamide",COc1ccc(-c2csc(NC(=O)c3cc4ccccc4cc3OC)n2)cc1OC,0.558525813,868,12.58%
"N-[4-(2,5-dimethoxyphenyl)-1,3-thiazol-2-yl]naphthalene-2-carboxamide",COc1ccc(OC)c(-c2csc(NC(=O)c3ccc4ccccc4c3)n2)c1,0.558167477,869,12.60%
"1-(3-chloro-4-methylphenyl)-N-(1-phenylethyl)-1H-pyrazolo[3,4-d]pyrimidin-4-amine",Cc1ccc(-n2ncc3c(NC(C)c4ccccc4)ncnc32)cc1Cl,0.557608892,870,12.61%
3-(2-Methoxyphenyl)-7-phenacyloxychromen-4-one,COc1ccccc1-c1coc2cc(OCC(=O)c3ccccc3)ccc2c1=O,0.557492895,871,12.63%
"Benzyl 4-(4-(benzyloxy)-3-methoxyphenyl)-6-methyl-2-thioxo-1,2,3,4-tetrahydropyrimidine-5-carboxylate",COc1cc(C2NC(=S)NC(C)=C2C(=O)OCc2ccccc2)ccc1OCc1ccccc1,0.557264546,872,12.64%
"N-[4-(4-cyanophenyl)-1,3-thiazol-2-yl]-2-phenoxybenzamide",N#Cc1ccc(-c2csc(NC(=O)c3ccccc3Oc3ccccc3)n2)cc1,0.556256635,873,12.66%
Apiopaeonoside,CC(=O)C1=C(C=C(C=C1)OC)OC2C(C(C(C(O2)COC3C(C(CO3)(CO)O)O)O)O)O,0.556119418,874,12.67%
N-(4-(naphthalen-2-yl)thiazol-2-yl)-2-phenoxybenzamide,O=C(Nc1nc(-c2ccc3ccccc3c2)cs1)c1ccccc1Oc1ccccc1,0.555495518,875,12.68%
(Z)-5-hydroxy-2-(2-hydroxybenzylidene)benzofuran-3(2H)-one,O=C1/C(=C/c2ccccc2O)Oc2ccc(O)cc21,0.554915662,876,12.70%
"1-[(3-methyl-2-oxo-2,3-dihydro-1,3-benzothiazol-6-yl)sulfonyl]-N-[2-(3-methyl-2-thienyl)ethyl]piperidine-4-carboxamide",COc1ccc(CN2CCc3nc(SCc4cccc(OC)c4)[nH]c(=O)c3C2)cc1,0.55483046,877,12.71%
"9-benzyl-1-methyl-3-[(2-methylphenyl)methyl]-7,8-dihydro-6H-purino[7,8-a]pyrimidine-2,4-dione",Cc1ccccc1Cn1c(=O)c2c(nc3n2CCCN3Cc2ccccc2)n(C)c1=O,0.554606435,878,12.73%
3-(2-Methoxyphenyl)-7-[2-(4-methoxyphenyl)-2-oxoethoxy]chromen-4-one,COc1ccc(C(=O)COc2ccc3c(=O)c(-c4ccccc4OC)coc3c2)cc1,0.5540661,879,12.74%
"(Z)-2-(3,4-dimethoxybenzylidene)-6-hydroxy-7-methylbenzofuran-3(2H)-one",COc1ccc(/C=C2\Oc3c(ccc(O)c3C)C2=O)cc1OC,0.553966815,880,12.76%
(2Z)-2-(2-hydroxybenzylidene)-6-methoxy-1-benzofuran-3(2H)-one,COc1ccc2c(c1)O/C(=C\c1ccccc1O)C2=O,0.55375277,881,12.77%
"N-(3-chlorophenyl)-4-(4-hydroxy-3-methoxyphenyl)-6-methyl-2-oxo-1,2,3,4-tetrahydropyrimidine-5-carboxamide",COc1cc(C2NC(=O)NC(C)=C2C(=O)Nc2cccc(Cl)c2)ccc1O,0.553383849,882,12.79%
"(E)-ethyl 2-(2-chlorobenzylidene)-5-(2-methoxyphenyl)-7-methyl-3-oxo-3,5-dihydro-2H-thiazolo[3,2-a]pyrimidine-6-carboxylate",CCOC(=O)C1=C(C)N=c2s/c(=C/c3ccccc3Cl)c(=O)n2C1c1ccccc1OC,0.553178004,883,12.80%
"N-[2-(3,4-dimethoxyphenyl)ethyl]-6-(4-methoxyphenyl)-3-methylimidazo[2,1-b][1,3]thiazole-2-carboxamide",COc1ccc(-c2cn3c(C)c(C(=O)NCCc4ccc(OC)c(OC)c4)sc3n2)cc1,0.55260348,884,12.82%
Methyl 4-[(6-hydroxy-4-methyl-3-oxobenzo[d]furan-2-ylidene)methyl]benzoate,COC(=O)c1ccc(/C=C2\Oc3cc(O)cc(C)c3C2=O)cc1,0.552533974,885,12.83%
"(E)-ethyl 2-((1,3-dimethyl-1H-pyrazol-4-yl)methylene)-5-(4-hydroxyphenyl)-7-methyl-3-oxo-3,5-dihydro-2H-thiazolo[3,2-a]pyrimidine-6-carboxylate",CCOC(=O)C1=C(C)N=c2s/c(=C/c3cn(C)nc3C)c(=O)n2C1c1ccc(O)cc1,0.552502429,886,12.84%
7-((2-methylallyl)oxy)-3-phenyl-4H-chromen-4-one,C=C(C)COc1ccc2c(=O)c(-c3ccccc3)coc2c1,0.552351056,887,12.86%
"(Z)-5-((1,3-diphenyl-1H-pyrazol-4-yl)methylene)-3-(3-ethoxypropyl)-2-thioxothiazolidin-4-one",CCOCCCN1C(=O)/C(=C/c2cn(-c3ccccc3)nc2-c2ccccc2)SC1=S,0.552279946,888,12.87%
"N-[4-(3,4-dimethoxyphenyl)-1,3-thiazol-2-yl]naphthalene-1-carboxamide",COc1ccc(-c2csc(NC(=O)c3cccc4ccccc34)n2)cc1OC,0.552266796,889,12.89%
"N-[4-(3,4-dimethoxyphenyl)-1,3-thiazol-2-yl]-4-phenoxybenzamide",COc1ccc(-c2csc(NC(=O)c3ccc(Oc4ccccc4)cc3)n2)cc1OC,0.551926212,890,12.90%
"2-[(3Z)-3-(3-cyclopentyl-4-oxo-2-thioxo-1,3-thiazolidin-5-ylidene)-2-oxo-2,3-dihydro-1H-indol-1-yl]-N-(4-methoxyphenyl)acetamide",COc1ccc(NC(=O)CN2C(=O)/C(=C3\SC(=S)N(C4CCCC4)C3=O)c3ccccc32)cc1,0.551627494,891,12.92%
"4-(2,5-dimethoxyphenyl)-N-(2-fluorophenyl)-6-methyl-2-oxo-1,2,3,4-tetrahydropyrimidine-5-carboxamide",COc1ccc(OC)c(C2NC(=O)NC(C)=C2C(=O)Nc2ccccc2F)c1,0.551073326,892,12.93%
4-methoxy-N-{4-[(4-sulfamoylphenyl)sulfamoyl]phenyl}benzamide,COc1ccc(C(=O)Nc2ccc(S(=O)(=O)Nc3ccc(S(N)(=O)=O)cc3)cc2)cc1,0.55087325,893,12.95%
"4-benzyl-N-[4-(2-methoxyphenyl)-1,3-thiazol-2-yl]benzamide",COc1ccccc1-c1csc(NC(=O)c2ccc(Cc3ccccc3)cc2)n1,0.550796968,894,12.96%
"Methyl 3-benzyl-6-(3-methoxy-4-phenylmethoxyphenyl)-4-methyl-2-oxo-1,6-dihydropyrimidine-5-carboxylate",COC(=O)C1=C(C)N(Cc2ccccc2)C(=O)NC1c1ccc(OCc2ccccc2)c(OC)c1,0.550725777,895,12.97%
(2Z)-6-hydroxy-2-(2-methoxybenzylidene)-1-benzofuran-3(2H)-one,COc1ccccc1/C=C1\Oc2cc(O)ccc2C1=O,0.550411711,896,12.99%
"methyl (2E)-2-[(4-hydroxyphenyl)methylidene]-7-methyl-3-oxo-5-phenyl-2H,3H,5H-[1,3]thiazolo[3,2-a]pyrimidine-6-carboxylate",COC(=O)C1=C(C)N=c2s/c(=C/c3ccc(O)cc3)c(=O)n2C1c1ccccc1,0.549994499,897,13.00%
6-Hydroxy-2-[(2-methoxyphenyl)methylene]-4-methylbenzo[b]furan-3-one,COc1ccccc1/C=C1\Oc2cc(O)cc(C)c2C1=O,0.549945636,898,13.02%
"(2Z)-2-[(2,3-dimethoxyphenyl)methylidene]-4-hydroxy-6-methyl-2,3-dihydro-1-benzofuran-3-one",COc1cccc(/C=C2\Oc3cc(C)cc(O)c3C2=O)c1OC,0.549854953,899,13.03%
"3,4,5-trimethoxy-N-(4-(naphthalen-2-yl)thiazol-2-yl)benzamide",COc1cc(C(=O)Nc2nc(-c3ccc4ccccc4c3)cs2)cc(OC)c1OC,0.549751133,900,13.05%
"4-benzyl-N-[4-(4-methoxyphenyl)-1,3-thiazol-2-yl]benzamide",COc1ccc(-c2csc(NC(=O)c3ccc(Cc4ccccc4)cc3)n2)cc1,0.549515744,901,13.06%
4-chloro-N-(4-(naphthalen-2-yl)thiazol-2-yl)benzamide,O=C(Nc1nc(-c2ccc3ccccc3c2)cs1)c1ccc(Cl)cc1,0.549510976,902,13.08%
"7-(2-Bromoethoxy)-3-(3,4-dimethoxyphenyl)chromen-4-one",COc1ccc(-c2coc3cc(OCCBr)ccc3c2=O)cc1OC,0.549486276,903,13.09%
"1-[(4-methylphenyl)methyl]-2-(propan-2-yl)-1H-1,3-benzodiazole",Cc1ccc(Cn2c(C(C)C)nc3ccccc32)cc1,0.549440486,904,13.11%
"N-[5-(4-methoxyphenyl)-1,3,4-oxadiazol-2-yl]-2-phenylquinoline-4-carboxamide",COc1ccc(-c2nnc(NC(=O)c3cc(-c4ccccc4)nc4ccccc34)o2)cc1,0.548930163,905,13.12%
"Isopropyl 1-benzyl-4-(2-ethoxynaphthalen-1-yl)-6-methyl-2-oxo-1,2,3,4-tetrahydropyrimidine-5-carboxylate",CCOc1ccc2ccccc2c1C1NC(=O)N(Cc2ccccc2)C(C)=C1C(=O)OC(C)C,0.548472595,906,13.13%
"4-[bis(2-methoxyethyl)sulfamoyl]-N-[4-(4-ethylphenyl)-1,3-thiazol-2-yl]benzamide",CCc1ccc(-c2csc(NC(=O)c3ccc(S(=O)(=O)N(CCOC)CCOC)cc3)n2)cc1,0.548198707,907,13.15%
N-(4-(1H-benzo[d]imidazol-2-yl)phenyl)-4-phenoxybenzamide,O=C(Nc1ccc(-c2nc3ccccc3[nH]2)cc1)c1ccc(Oc2ccccc2)cc1,0.547921761,908,13.16%
"N-(2-ethoxyphenyl)-6-methyl-4-(naphthalen-1-yl)-2-oxo-1,2,3,4-tetrahydropyrimidine-5-carboxamide",CCOc1ccccc1NC(=O)C1=C(C)NC(=O)NC1c1cccc2ccccc12,0.547888304,909,13.18%
7-Phenacyloxy-3-phenylchromen-4-one,O=C(COc1ccc2c(=O)c(-c3ccccc3)coc2c1)c1ccccc1,0.547743229,910,13.19%
3-(2-Methoxyphenoxy)-7-[2-(4-methoxyphenyl)-2-oxoethoxy]-2-methylchromen-4-one,COc1ccc(C(=O)COc2ccc3c(=O)c(Oc4ccccc4OC)c(C)oc3c2)cc1,0.547564967,911,13.21%
1-(9H-carbazol-9-yl)-3-[(2-methylcyclohexyl)amino]propan-2-ol,CC1CCCCC1NCC(O)Cn1c2ccccc2c2ccccc21,0.547327909,912,13.22%
3-(4-methoxyphenyl)-2-methyl-7-((3-methylbut-2-en-1-yl)oxy)-4H-chromen-4-one,COc1ccc(-c2c(C)oc3cc(OCC=C(C)C)ccc3c2=O)cc1,0.547191471,913,13.24%
"4-(2,5-dimethoxyphenyl)-N-(2-ethoxyphenyl)-6-methyl-2-oxo-1,2,3,4-tetrahydropyrimidine-5-carboxamide",CCOc1ccccc1NC(=O)C1=C(C)NC(=O)NC1c1cc(OC)ccc1OC,0.547136347,914,13.25%
"4-[bis(2-methylpropyl)sulfamoyl]-N-[5-(4-methoxyphenyl)-1,3,4-oxadiazol-2-yl]benzamide",COc1ccc(-c2nnc(NC(=O)c3ccc(S(=O)(=O)N(CC(C)C)CC(C)C)cc3)o2)cc1,0.547126266,915,13.26%
"4-ethyl-N-(1-(phenylsulfonyl)-1,2,3,4-tetrahydroquinolin-7-yl)benzenesulfonamide",CCc1ccc(S(=O)(=O)Nc2ccc3c(c2)N(S(=O)(=O)c2ccccc2)CCC3)cc1,0.546838535,916,13.28%
"4-(3,4-dimethoxyphenyl)-N-(2-methoxyphenyl)-6-methyl-2-oxo-1,2,3,4-tetrahydropyrimidine-5-carboxamide",COc1ccccc1NC(=O)C1=C(C)NC(=O)NC1c1ccc(OC)c(OC)c1,0.546698059,917,13.29%
"2,4,4'-Trimethoxychalcone",COc1ccc(C(=O)/C=C/c2ccc(OC)cc2OC)cc1,0.546150469,918,13.31%
2-(2-chlorophenoxy)-N-(9-oxo-9H-xanthen-3-yl)acetamide,O=C(COc1ccccc1Cl)Nc1ccc2c(=O)c3ccccc3oc2c1,0.546054481,919,13.32%
"N-(4-{[(2,6-dimethoxypyrimidin-4-yl)amino]sulfonyl}phenyl)-2-phenylacetamide",COc1cc(NS(=O)(=O)c2ccc(NC(=O)Cc3ccccc3)cc2)nc(OC)n1,0.545913426,920,13.34%
"N-(4-ethoxyphenyl)-6-methyl-2-oxo-4-(3,4,5-trimethoxyphenyl)-1,2,3,4-tetrahydropyrimidine-5-carboxamide",CCOc1ccc(NC(=O)C2=C(C)NC(=O)NC2c2cc(OC)c(OC)c(OC)c2)cc1,0.545912213,921,13.35%
[3-(4-Methoxyphenyl)-4-oxochromen-7-yl] 2-methylpropanoate,COc1ccc(-c2coc3cc(OC(=O)C(C)C)ccc3c2=O)cc1,0.545724536,922,13.37%
"(2Z)-2-[(2,4-dimethoxyphenyl)methylidene]-6-hydroxy-4-methyl-1-benzofuran-3-one",COc1ccc(/C=C2\Oc3cc(O)cc(C)c3C2=O)c(OC)c1,0.54572289,923,13.38%
3-(4-methoxyphenoxy)-2-methyl-7-(2-oxo-2-phenylethoxy)-4H-chromen-4-one,COc1ccc(Oc2c(C)oc3cc(OCC(=O)c4ccccc4)ccc3c2=O)cc1,0.544700986,924,13.40%
N-[4-(1H-benzimidazol-2-yl)phenyl]-4-phenylbenzamide,O=C(Nc1ccc(-c2nc3ccccc3[nH]2)cc1)c1ccc(-c2ccccc2)cc1,0.544615714,925,13.41%
N-(5-fluoro-9-oxo-9H-xanthen-3-yl)-2-phenoxyacetamide,O=C(COc1ccccc1)Nc1ccc2c(=O)c3cccc(F)c3oc2c1,0.544609301,926,13.42%
(Z)-N-benzyl-2-(2-oxo-3-(4-oxo-3-((tetrahydrofuran-2-yl)methyl)-2-thioxothiazolidin-5-ylidene)indolin-1-yl)acetamide,O=C(CN1C(=O)/C(=C2\SC(=S)N(CC3CCCO3)C2=O)c2ccccc21)NCc1ccccc1,0.544414907,927,13.44%
3-(4-fluorophenyl)-7-methoxy-2-methyl-4H-chromen-4-one,COc1ccc2c(=O)c(-c3ccc(F)cc3)c(C)oc2c1,0.544207212,928,13.45%
7-methoxy-3-(2-methoxyphenyl)-4H-chromen-4-one,COc1ccc2c(=O)c(-c3ccccc3OC)coc2c1,0.544200626,929,13.47%
7-ethoxy-3-phenyl-4H-chromen-4-one,CCOc1ccc2c(=O)c(-c3ccccc3)coc2c1,0.544113534,930,13.48%
"3-(2,3-Dihydro-1,4-benzodioxin-6-yl)-6-ethyl-7-methoxychromen-4-one",CCc1cc2c(=O)c(-c3ccc4c(c3)OCCO4)coc2cc1OC,0.543788074,931,13.50%
"(2E)-1-(2,4-dimethoxyphenyl)-3-(3,4,5-trimethoxyphenyl)prop-2-en-1-one",COc1ccc(C(=O)/C=C/c2cc(OC)c(OC)c(OC)c2)c(OC)c1,0.543731807,932,13.51%
"8-((diethylamino)methyl)-3-(3,4-dimethoxyphenyl)-7-hydroxy-4H-chromen-4-one",CCN(CC)Cc1c(O)ccc2c(=O)c(-c3ccc(OC)c(OC)c3)coc12,0.543684723,933,13.53%
"4-ethyl-N-(1-(phenylsulfonyl)-1,2,3,4-tetrahydroquinolin-6-yl)benzenesulfonamide",CCc1ccc(S(=O)(=O)Nc2ccc3c(c2)CCCN3S(=O)(=O)c2ccccc2)cc1,0.543330348,934,13.54%
Methyl 2-(4-oxo-3-phenylchromen-7-yl)oxypropanoate,COC(=O)C(C)Oc1ccc2c(=O)c(-c3ccccc3)coc2c1,0.543118054,935,13.55%
"N-((6-(4-fluorophenyl)-3-methylimidazo[2,1-b]thiazol-2-yl)methyl)-3,4-dimethoxybenzamide",COc1ccc(C(=O)NCc2sc3nc(-c4ccc(F)cc4)cn3c2C)cc1OC,0.542921539,936,13.57%
1-({2-Methyl-5-[5-(trifluoromethyl)isoxazol-3-yl]-3-thienyl}sulfonyl)azepane,COc1cccc(CSc2nc3c(c(=O)[nH]2)CN(Cc2ccc(F)cc2)CC3)c1,0.542810005,937,13.58%
"N-(3-chlorophenyl)-4-(4-hydroxy-3-methoxyphenyl)-6-methyl-2-sulfanylidene-3,4-dihydro-1H-pyrimidine-5-carboxamide",COc1cc(C2NC(=S)NC(C)=C2C(=O)Nc2cccc(Cl)c2)ccc1O,0.542004962,938,13.60%
"N-benzyl-1-(4-chlorophenyl)-1H-pyrazolo[3,4-d]pyrimidin-4-amine",Clc1ccc(-n2ncc3c(NCc4ccccc4)ncnc32)cc1,0.541954697,939,13.61%
"7-((4-methoxyphenoxy)methyl)-1,3-dimethyl-6,7-dihydrooxazolo[2,3-f]purine-2,4(1H,3H)-dione",COc1ccc(OCC2Cn3c(nc4c3c(=O)n(C)c(=O)n4C)O2)cc1,0.541862459,940,13.63%
"(2Z)-2-(2,4-dimethoxybenzylidene)-6-hydroxy-1-benzofuran-3(2H)-one",COc1ccc(/C=C2\Oc3cc(O)ccc3C2=O)c(OC)c1,0.5417483,941,13.64%
"(Z)-2-(4-methoxybenzylidene)-3-oxo-2,3-dihydrobenzofuran-6-yl methanesulfonate",COc1ccc(/C=C2\Oc3cc(OS(C)(=O)=O)ccc3C2=O)cc1,0.541706947,942,13.66%
3-(2-methoxyphenoxy)-2-methyl-7-(2-oxo-2-phenylethoxy)-4H-chromen-4-one,COc1ccccc1Oc1c(C)oc2cc(OCC(=O)c3ccccc3)ccc2c1=O,0.541480933,943,13.67%
"6-butyl-9-methyl-6H-indolo[2,3-b]quinoxaline",CCCCn1c2ccc(C)cc2c2nc3ccccc3nc21,0.541463858,944,13.69%
N-(4-chlorobenzo[d]thiazol-2-yl)-2-methoxy-N-(pyridin-3-ylmethyl)benzamide,COc1ccccc1C(=O)N(Cc1cccnc1)c1nc2c(Cl)cccc2s1,0.541369755,945,13.70%
"(6,7-dimethoxy-1-phenyl-3,4-dihydroisoquinolin-2(1H)-yl)(3,4-dimethoxyphenyl)methanone",COc1ccc(C(=O)N2CCc3cc(OC)c(OC)cc3C2c2ccccc2)cc1OC,0.541239059,946,13.71%
"2-Methoxyethyl 4-[4-(difluoromethoxy)-3-methoxyphenyl]-6-methyl-2-oxo-1,2,3,4-tetrahydropyrimidine-5-carboxylate",COCCOC(=O)C1=C(C)NC(=O)NC1c1ccc(OC(F)F)c(OC)c1,0.5411235,947,13.73%
Hispidol,c1cc(ccc1/C=C1/C(=O)c2ccc(cc2O1)O)O,0.540981014,948,13.74%
7-methoxy-3-(3-methoxyphenoxy)-2-methyl-4H-chromen-4-one,COc1cccc(Oc2c(C)oc3cc(OC)ccc3c2=O)c1,0.54096479,949,13.76%
"4-(3,4-dihydro-2H-quinolin-1-ylsulfonyl)-N-[5-(methoxymethyl)-1,3,4-oxadiazol-2-yl]benzamide",COCc1nnc(NC(=O)c2ccc(S(=O)(=O)N3CCCc4ccccc43)cc2)o1,0.540934615,950,13.77%
"1-[2-(3,4-Dimethoxyphenyl)-3,5-dimethylpyrazolo[1,5-A]pyrimidin-7-YL]-4-[(2E)-3-phenylprop-2-EN-1-YL]piperazine",COc1ccc(-c2nn3c(N4CCN(C/C=C/c5ccccc5)CC4)cc(C)nc3c2C)cc1OC,0.540568966,951,13.79%
"(Z)-ethyl 5-(4-chlorophenyl)-7-methyl-3-oxo-2-(2-oxoindolin-3-ylidene)-3,5-dihydro-2H-thiazolo[3,2-a]pyrimidine-6-carboxylate",CCOC(=O)C1=C(C)N=c2s/c(=C3\C(=O)Nc4ccccc43)c(=O)n2C1c1ccc(Cl)cc1,0.540337868,952,13.80%
"3,4-dihydro-1H-isoquinolin-2-yl-[6-(4-methoxyphenyl)-3-methylimidazo[2,1-b][1,3]thiazol-2-yl]methanone",COc1ccc(-c2cn3c(C)c(C(=O)N4CCc5ccccc5C4)sc3n2)cc1,0.540105525,953,13.82%
"N-(4-chlorophenyl)-4-(4-hydroxy-3-methoxyphenyl)-6-methyl-2-oxo-1,2,3,4-tetrahydropyrimidine-5-carboxamide",COc1cc(C2NC(=O)NC(C)=C2C(=O)Nc2ccc(Cl)cc2)ccc1O,0.540084059,954,13.83%
"2,6-dimethoxy-N-(4-(naphthalen-1-yl)thiazol-2-yl)benzamide",COc1cccc(OC)c1C(=O)Nc1nc(-c2cccc3ccccc23)cs1,0.540014119,955,13.84%
"5,7-Dimethoxy-3-(2-methoxyphenyl)chromen-4-one",COc1cc(OC)c2c(=O)c(-c3ccccc3OC)coc2c1,0.539804872,956,13.86%
(Z)-6-hydroxy-2-((E)-3-(2-methoxyphenyl)allylidene)benzofuran-3(2H)-one,COc1ccccc1/C=C/C=C1\Oc2cc(O)ccc2C1=O,0.539750627,957,13.87%
"N-[(2,6-difluorophenyl)methyl]-1-[(4-fluorophenyl)methyl]-2-oxo-1,2-dihydro-1,8-naphthyridine-3-carboxamide",O=C(NCc1c(F)cccc1F)c1cc2cccnc2n(Cc2ccc(F)cc2)c1=O,0.539737219,958,13.89%
"2-(2-(Diethylamino)ethyl)-1-(3,4-dimethoxyphenyl)-7-methyl-1,2-dihydrochromeno[2,3-c]pyrrole-3,9-dione",CCN(CC)CCN1C(=O)c2oc3ccc(C)cc3c(=O)c2C1c1ccc(OC)c(OC)c1,0.539508768,959,13.90%
(4-Oxo-3-phenylchromen-7-yl) propanoate,CCC(=O)Oc1ccc2c(=O)c(-c3ccccc3)coc2c1,0.539177962,960,13.92%
"(2E)-1-(2,5-dimethoxyphenyl)-3-(3,4,5-trimethoxyphenyl)prop-2-en-1-one",COc1ccc(OC)c(C(=O)/C=C/c2cc(OC)c(OC)c(OC)c2)c1,0.539034325,961,13.93%
"4-benzoyl-N-[4-(3-methoxyphenyl)-1,3-thiazol-2-yl]benzamide",COc1cccc(-c2csc(NC(=O)c3ccc(C(=O)c4ccccc4)cc3)n2)c1,0.539001688,962,13.95%
1-(1-Adamantyl)propan-1-ol,CCC(O)C12CC3CC(CC(C3)C1)C2,0.538516107,963,13.96%
"[(2-Chlorophenyl)methyl][1-(4-methylphenyl)pyrazolo[4,5-e]pyrimidin-4-yl]amine",Cc1ccc(-n2ncc3c(NCc4ccccc4Cl)ncnc32)cc1,0.538506409,964,13.98%
"4-methyl-N-(1-tosyl-1,2,3,4-tetrahydroquinolin-7-yl)benzenesulfonamide",Cc1ccc(S(=O)(=O)Nc2ccc3c(c2)N(S(=O)(=O)c2ccc(C)cc2)CCC3)cc1,0.538430822,965,13.99%
"4-chloro-N-(2,5-dimethylphenyl)naphthalene-1-sulfonamide",Cc1ccc(C)c(NS(=O)(=O)c2ccc(Cl)c3ccccc23)c1,0.53827706,966,14.00%
"methyl 6-chloro-4-((2-(3,4-dihydroquinolin-1(2H)-yl)ethyl)amino)-2-oxo-1,2-dihydroquinoline-3-carboxylate",COC(=O)c1c(NCCN2CCCc3ccccc32)c2cc(Cl)ccc2[nH]c1=O,0.538085802,967,14.02%
"N-[1-(benzenesulfonyl)-1,2,3,4-tetrahydroquinolin-6-yl]-3-fluorobenzene-1-sulfonamide",O=S(=O)(Nc1ccc2c(c1)CCCN2S(=O)(=O)c1ccccc1)c1cccc(F)c1,0.537916075,968,14.03%
"ethyl (2E)-2-[(1-ethyl-5-methylpyrazol-4-yl)methylidene]-5-(4-methoxyphenyl)-7-methyl-3-oxo-5H-[1,3]thiazolo[3,2-a]pyrimidine-6-carboxylate",CCOC(=O)C1=C(C)N=c2s/c(=C/c3cnn(CC)c3C)c(=O)n2C1c1ccc(OC)cc1,0.537784945,969,14.05%
